skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
9047388,7236880,618380,70296366,1050798,0,636034,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9188256,6872726,555184,66573094,1050084,0,645666
9476894,6854330,548184,69695556,1030414,0,631960,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8890784,7057834,579306,67514272,1097586,0,653996
9371460,6866160,1412978,67591776,1035020,0,637434,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9054514,7266574,628726,68521600,1091496,0,654150
9103570,6864802,610372,66612420,1074220,0,643972,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9202116,7060494,661864,70744044,1022126,966,637112
9043482,7277354,645232,69162576,1065120,966,645596,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9457602,6789622,625464,67102546,1056412,966,634046
9277618,7072688,1460438,69886068,1018346,966,638092,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9011240,6991180,920822,66489724,1065232,966,648144
9456622,6781530,600096,69291768,1034180,966,630826,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8919302,7129724,598990,67873932,1098496,0,646282
9085552,6962004,756938,66451224,1073184,0,645750,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9410114,6945554,716744,71091804,1024702,0,619276
8982960,7219058,752444,68692820,1074668,0,628152,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9293830,6885522,642082,66647574,1048012,0,623686
9420334,6831552,693462,71278354,1025696,0,616560,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8901774,7024024,766500,66889578,1086946,0,626556
9511446,6847554,773402,66915478,1046766,0,607936,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9061598,7225904,826210,68748750,1049874,0,607628
8863960,7158844,794150,67658458,1090306,0,628418,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9468788,6926598,710276,70638918,1020390,14,611618
9070264,7230832,732886,69782146,1059828,14,585676,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9299654,6876408,759430,66797654,1051722,280,621866
