SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
    1.41,    1.18,    9.33,    9.11,    1.27,    1.04,    1.25,    1.00,   13.26,   12.33,4268237728,   25.59,     13.26,     12.33,     25.59
    1.34,    1.12,    9.25,    9.04,    1.23,    1.00,    1.08,    0.84,   12.90,   12.00,4264213545,   24.90,     12.90,     12.00,     24.90
    1.23,    1.00,    9.20,    8.96,    1.19,    0.96,    1.08,    0.84,   12.69,   11.76,4263960291,   24.46,     12.69,     11.76,     24.46
    1.16,    0.92,    9.20,    8.96,    1.13,    0.91,    1.07,    0.83,   12.56,   11.63,4268235677,   24.19,     12.56,     11.63,     24.19
    1.36,    0.95,    9.41,    9.00,    1.38,    0.98,    1.26,    0.85,   13.40,   11.78,4263458992,   25.18,     13.40,     11.78,     25.18
    1.19,    0.88,    9.27,    8.93,    1.14,    0.80,    1.07,    0.73,   12.67,   11.34,4263932828,   24.01,     12.67,     11.34,     24.01
    1.11,    0.86,    9.14,    8.90,    1.03,    0.78,    0.98,    0.73,   12.26,   11.27,4268237209,   23.53,     12.26,     11.27,     23.53
    1.12,    0.84,    9.17,    8.90,    1.02,    0.74,    1.06,    0.77,   12.37,   11.25,4263980889,   23.62,     12.37,     11.25,     23.62
    1.14,    0.85,    9.18,    8.89,    1.04,    0.75,    1.09,    0.79,   12.45,   11.28,4263986590,   23.73,     12.45,     11.28,     23.73
    0.97,    0.75,    9.02,    8.79,    0.91,    0.68,    0.96,    0.71,   11.85,   10.93,4268238718,   22.78,     11.85,     10.93,     22.78
    1.30,    0.95,    9.33,    8.97,    1.15,    0.80,    1.15,    0.79,   12.94,   11.50,4263944779,   24.44,     12.94,     11.50,     24.44
