skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
9148692,6816292,984158,66064418,1070902,0,656530,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9075948,6866972,858536,65985010,1067318,0,659764
9192134,6810510,948556,65971948,1070538,0,652652,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9314116,6748140,882546,65423932,1056650,0,647388
9391844,6751906,1582224,65695490,1054802,0,649614,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9266600,6698048,711018,66920168,1043448,280,648466
9344720,6779472,728168,67051796,1037092,0,637322,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9200184,6719496,870968,67748492,1033144,0,637168
9251466,6828990,867090,67875668,1031828,0,632730,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9192680,6874602,889448,69611024,1025234,0,644378
9136610,6948340,719222,69582422,1022476,0,645120,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9149700,6968220,1051890,69888392,1022056,280,632016
9013228,6880874,877548,69617730,1012018,0,642628,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9146578,6993070,859614,69055392,1018486,0,643356
9045050,6930224,875658,67822398,1028160,0,647220,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9256450,6809796,831110,67711182,1026256,0,642166
9189614,6764590,896490,69131692,1009652,0,649110,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9208836,6819526,946904,69076336,1014370,280,645456
9105712,6844712,819448,69682522,1009526,0,643160,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9018114,6866062,824558,69588974,1008546,0,646422
9122372,6948718,843794,69275332,1017198,0,643258,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9250178,6748742,972300,68344094,1021930,0,650888
9195130,6697628,829892,68140268,1025192,0,646590,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9217908,6814696,901572,69378596,1017226,280,649110
9233168,6807794,1082200,68417216,1021860,0,639856,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9175138,6814388,1012718,68522916,1023708,0,645946
9214324,6870696,958552,68531414,1021860,14,642152,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9224852,6756806,1052100,67957736,1034894,14,646604
9321060,6746824,1155252,66505446,1038982,0,645400,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9267482,6730864,991032,67363632,1036518,280,641788
9246580,6759578,977284,67798668,1029854,0,607614,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9307354,6775846,1144472,66160304,1048250,0,647892
9321480,6750576,1030414,66397996,1029238,0,649166,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9399026,6757030,992838,65938936,1038646,0,644882
9263548,6716598,1076432,66849762,1030498,0,651574,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9356522,6782930,1011318,65752050,1046374,280,648018
9308894,6739754,891170,66571652,1037260,0,643538,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9334584,6711768,910070,68613524,1020306,0,642320
9237270,6691608,1083474,68377274,1027824,0,643454,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9215402,6758458,907858,68931576,1018794,0,640416
9295398,6715240,975436,68772382,1028412,0,640010,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9249814,6642650,948220,67748394,1031086,0,646632
9378488,6730178,800254,67367496,1040760,0,642404,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9337706,6704852,830564,67151070,1031240,0,647556
9380756,6742526,856590,67597110,1036826,0,646464,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9285976,6684888,889294,67302718,1036378,0,644490
9325050,6751430,891002,67543966,1033662,0,642460,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9293354,6739432,874650,68019616,1031954,0,646590
9289966,6800808,708820,66941966,1038618,0,654570,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9287572,6712342,718662,68026420,1036980,0,645806
9322600,6721680,752318,68153680,1028104,0,647248,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9304106,6704152,713804,68223232,1034950,0,645582
9199232,6774474,926982,68951792,1019536,0,650958,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9218594,6861512,959056,69649398,1023708,0,639324
9109828,6919780,764218,70673204,1016064,0,633808,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9320920,6767978,808472,68356806,1038240,0,621306
9290484,6725460,911960,66559640,1047802,0,654710,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8861076,6947318,674212,67296838,1066926,14,642740
8772666,7004214,710850,69069546,1064644,14,639072,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8866690,7173376,847798,70184394,1014188,0,636020
9032478,7028476,814240,70759836,1020348,0,639730,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9233896,6753306,1031394,68522076,1026928,0,652848
9081912,6868918,949438,66766392,1077090,0,653142,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8857198,7030380,899598,69118266,1020082,0,636174
8978998,7164290,1093330,69762308,1013236,0,638274,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9143372,6768104,891156,68049506,1035174,0,644364
9292892,6758822,935690,65742432,1045562,0,650664,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9078482,6831034,781942,66841264,1077384,0,665420
