SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  349.65,  229.22,  357.82,  237.24,  347.59,  227.23,  348.19,  227.91, 1403.24,  921.61,4268505056, 2324.85,   1403.24,    921.61,   2324.85
  349.18,  228.92,  357.59,  237.23,  347.24,  227.08,  347.63,  227.53, 1401.64,  920.76,4264230963, 2322.40,   1401.64,    920.76,   2322.40
  349.14,  228.74,  357.58,  237.16,  347.47,  227.14,  347.68,  227.80, 1401.87,  920.85,4264322928, 2322.72,   1401.87,    920.85,   2322.72
  351.04,  229.88,  359.48,  238.44,  348.52,  227.75,  349.64,  229.08, 1408.68,  925.16,4264304728, 2333.84,   1408.68,    925.16,   2333.84
  351.35,  230.05,  359.38,  238.45,  348.68,  227.82,  349.52,  228.76, 1408.93,  925.09,4268554866, 2334.02,   1408.93,    925.09,   2334.02
  351.40,  229.90,  359.48,  238.42,  349.40,  228.24,  349.82,  228.78, 1410.11,  925.34,4264254882, 2335.44,   1410.11,    925.34,   2335.44
  350.91,  230.09,  358.23,  237.90,  348.41,  228.16,  349.19,  228.73, 1406.74,  924.88,4264250494, 2331.62,   1406.74,    924.88,   2331.62
  351.77,  230.51,  358.89,  238.35,  349.32,  228.75,  349.60,  228.95, 1409.57,  926.56,4268567526, 2336.12,   1409.57,    926.56,   2336.12
  349.24,  228.68,  356.85,  237.11,  346.86,  226.92,  347.41,  227.71, 1400.36,  920.42,4264252068, 2320.78,   1400.36,    920.42,   2320.78
  349.25,  228.62,  357.00,  237.20,  347.14,  227.12,  347.49,  227.65, 1400.87,  920.59,4264240462, 2321.46,   1400.87,    920.59,   2321.46
  350.59,  229.46,  358.46,  238.01,  348.83,  228.17,  349.12,  228.59, 1407.00,  924.23,4268520142, 2331.24,   1407.00,    924.23,   2331.24
  349.33,  228.69,  356.38,  236.52,  347.28,  227.07,  347.30,  227.59, 1400.28,  919.87,4264216219, 2320.16,   1400.28,    919.87,   2320.16
  349.88,  228.98,  356.88,  237.01,  347.58,  227.16,  348.22,  228.16, 1402.58,  921.31,4264253540, 2323.89,   1402.58,    921.31,   2323.89
  347.88,  227.70,  354.48,  235.63,  345.29,  225.71,  346.01,  226.60, 1393.66,  915.65,4264261957, 2309.31,   1393.66,    915.65,   2309.31
  350.02,  229.23,  357.07,  237.23,  347.62,  227.38,  348.59,  228.33, 1403.31,  922.18,4268520282, 2325.48,   1403.31,    922.18,   2325.48
  350.66,  229.65,  357.55,  237.54,  347.98,  227.73,  348.82,  228.44, 1405.02,  923.36,4264263685, 2328.38,   1405.02,    923.36,   2328.38
  349.60,  229.15,  356.68,  236.89,  346.58,  226.77,  347.70,  227.74, 1400.56,  920.55,4264256596, 2321.11,   1400.56,    920.55,   2321.11
  350.06,  229.43,  357.45,  237.47,  347.53,  227.24,  347.98,  227.92, 1403.03,  922.06,4268438375, 2325.08,   1403.03,    922.06,   2325.08
  349.55,  229.20,  357.34,  237.37,  347.27,  226.99,  347.82,  227.74, 1401.99,  921.30,4264027021, 2323.28,   1401.99,    921.30,   2323.28
  348.12,  228.42,  355.62,  236.16,  346.03,  226.16,  346.12,  226.58, 1395.89,  917.32,4264270011, 2313.21,   1395.89,    917.32,   2313.21
  349.35,  229.25,  357.54,  237.60,  347.26,  227.03,  348.09,  228.07, 1402.25,  921.95,4268541453, 2324.20,   1402.25,    921.95,   2324.20
  349.17,  229.07,  357.31,  237.32,  346.94,  226.94,  347.63,  227.76, 1401.05,  921.08,4264054131, 2322.13,   1401.05,    921.08,   2322.13
  348.05,  228.29,  356.17,  236.65,  345.92,  226.43,  346.95,  227.23, 1397.09,  918.59,4264262250, 2315.68,   1397.09,    918.59,   2315.68
  349.29,  229.04,  357.25,  237.51,  346.79,  226.88,  347.92,  227.85, 1401.24,  921.28,4264307917, 2322.52,   1401.24,    921.28,   2322.52
  349.23,  229.05,  356.63,  237.07,  346.10,  226.35,  347.67,  227.72, 1399.62,  920.19,4268177665, 2319.81,   1399.62,    920.19,   2319.81
  349.01,  228.73,  356.04,  236.66,  346.12,  226.30,  347.24,  227.36, 1398.41,  919.05,4264310987, 2317.46,   1398.41,    919.05,   2317.46
  349.78,  229.22,  356.67,  237.04,  347.26,  226.99,  348.28,  228.09, 1402.00,  921.34,4264275428, 2323.34,   1402.00,    921.34,   2323.34
  349.21,  228.62,  356.37,  236.82,  346.71,  226.78,  347.83,  227.72, 1400.11,  919.94,4268527874, 2320.06,   1400.11,    919.94,   2320.06
  349.55,  228.91,  357.09,  237.11,  347.46,  227.36,  347.92,  227.61, 1402.01,  920.99,4264252454, 2323.00,   1402.01,    920.99,   2323.00
  349.02,  228.95,  356.84,  237.06,  346.74,  227.03,  347.39,  227.33, 1399.99,  920.37,4264289885, 2320.36,   1399.99,    920.37,   2320.36
  349.19,  229.14,  356.88,  236.93,  346.50,  226.86,  347.40,  227.29, 1399.98,  920.22,4268525285, 2320.19,   1399.98,    920.22,   2320.19
  348.98,  228.89,  357.81,  237.52,  346.66,  226.95,  347.79,  227.39, 1401.24,  920.75,4264260461, 2321.99,   1401.24,    920.75,   2321.99
  349.05,  228.95,  357.80,  237.38,  346.99,  227.08,  347.93,  227.43, 1401.77,  920.84,4264461263, 2322.61,   1401.77,    920.84,   2322.61
  348.18,  228.39,  356.69,  236.86,  346.14,  226.65,  346.85,  227.02, 1397.87,  918.91,4264253880, 2316.78,   1397.87,    918.91,   2316.78
  348.83,  228.61,  357.60,  237.55,  347.26,  227.31,  347.68,  227.64, 1401.37,  921.11,4268530977, 2322.48,   1401.37,    921.11,   2322.48
  347.32,  227.90,  356.07,  236.51,  345.55,  226.18,  346.49,  226.92, 1395.44,  917.51,4264258346, 2312.95,   1395.44,    917.51,   2312.95
  348.66,  228.78,  356.50,  236.72,  346.43,  226.94,  347.38,  227.34, 1398.97,  919.77,4264269246, 2318.74,   1398.97,    919.77,   2318.74
  349.48,  229.23,  357.40,  237.17,  347.16,  227.35,  348.66,  228.11, 1402.70,  921.87,4268523672, 2324.56,   1402.70,    921.87,   2324.56
  347.42,  227.78,  355.84,  236.38,  345.33,  225.96,  346.58,  226.81, 1395.18,  916.94,4264244346, 2312.12,   1395.18,    916.94,   2312.12
  348.13,  228.35,  356.20,  236.70,  345.51,  226.31,  346.99,  226.88, 1396.83,  918.24,4264279567, 2315.07,   1396.83,    918.24,   2315.07
  347.93,  228.26,  356.35,  236.71,  345.36,  226.04,  347.03,  226.92, 1396.67,  917.93,4264254880, 2314.60,   1396.67,    917.93,   2314.60
  348.07,  228.40,  356.27,  236.59,  345.15,  225.94,  346.95,  226.90, 1396.44,  917.83,4268525357, 2314.27,   1396.44,    917.83,   2314.27
  348.53,  228.56,  355.96,  236.22,  345.91,  226.08,  347.14,  226.96, 1397.54,  917.82,4264351147, 2315.36,   1397.54,    917.82,   2315.36
  349.31,  229.10,  356.80,  236.76,  346.42,  226.47,  347.76,  227.16, 1400.29,  919.49,4264259385, 2319.78,   1400.29,    919.49,   2319.78
  348.39,  228.28,  356.37,  236.76,  346.02,  226.38,  347.40,  227.00, 1398.18,  918.41,4268508430, 2316.59,   1398.18,    918.41,   2316.59
  348.20,  228.16,  355.73,  236.22,  345.42,  225.83,  347.33,  227.09, 1396.68,  917.31,4264073496, 2313.99,   1396.68,    917.31,   2313.99
  347.93,  227.80,  355.80,  236.06,  345.71,  226.14,  347.19,  227.01, 1396.64,  917.01,4264310278, 2313.64,   1396.64,    917.01,   2313.64
  348.89,  228.52,  357.39,  237.22,  346.71,  226.79,  348.01,  227.43, 1401.00,  919.96,4268520278, 2320.96,   1401.00,    919.96,   2320.96
  347.42,  227.62,  355.95,  236.21,  345.25,  225.94,  347.02,  226.76, 1395.65,  916.53,4264100714, 2312.18,   1395.65,    916.53,   2312.18
  346.86,  227.30,  355.52,  235.86,  344.83,  225.73,  346.21,  226.27, 1393.43,  915.16,4264236719, 2308.59,   1393.43,    915.16,   2308.59
  346.90,  227.54,  356.12,  236.30,  345.13,  226.09,  346.64,  226.78, 1394.78,  916.70,4264264045, 2311.48,   1394.78,    916.70,   2311.48
  348.10,  228.34,  356.89,  236.51,  346.35,  226.76,  347.39,  227.33, 1398.73,  918.94,4268202097, 2317.67,   1398.73,    918.94,   2317.67
  347.70,  228.18,  355.76,  235.87,  345.53,  225.96,  346.48,  226.80, 1395.47,  916.81,4264149266, 2312.29,   1395.47,    916.81,   2312.29
  348.29,  228.56,  356.45,  236.27,  346.11,  226.59,  346.95,  227.10, 1397.81,  918.52,4264296956, 2316.33,   1397.81,    918.52,   2316.33
  348.45,  228.61,  357.04,  236.93,  346.27,  226.64,  347.27,  227.35, 1399.03,  919.53,4268627525, 2318.56,   1399.03,    919.53,   2318.56
  345.34,  226.33,  353.75,  234.83,  343.29,  224.71,  344.48,  225.56, 1386.86,  911.44,4264261247, 2298.29,   1386.86,    911.44,   2298.29
  347.96,  227.96,  355.70,  236.02,  345.22,  225.82,  347.02,  226.99, 1395.90,  916.81,4264268375, 2312.70,   1395.90,    916.81,   2312.70
  348.45,  228.39,  355.94,  236.14,  345.40,  225.89,  347.10,  227.05, 1396.90,  917.48,4268533135, 2314.38,   1396.90,    917.48,   2314.38
  348.99,  228.91,  356.38,  236.53,  346.14,  226.54,  347.42,  227.29, 1398.94,  919.27,4264252344, 2318.20,   1398.94,    919.27,   2318.20
