skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
9381764,7152586,1625176,67575046,1118012,966,575834,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9689218,6974954,1619044,70039256,1097908,966,572964
9686474,6875134,1751736,70773276,1109038,1246,573678,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9644348,6862086,1503348,70445704,1119748,966,573930
9646630,7072268,1590414,69299958,1113812,0,569072,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9586514,6977474,1575378,70347802,1122268,0,566384
9583168,7047054,1472618,68889492,1115548,0,568246,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9653168,6849850,1538656,70519344,1058806,0,555478
9562672,6738816,1604582,71307950,1079652,280,557424,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9515534,6794620,1543780,71582700,1067892,14,545328
9585100,6774824,1525132,70889532,1059212,14,542066,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9437582,6767768,1530396,71310148,1064938,0,516964
9487156,6811070,1494612,71092168,1059506,0,550032,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9325778,6818462,1197798,558068,0,0,560
0,0,496454,633710,14,0,392,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,0,0,542402,525868,0,0,0
0,0,586516,610036,0,0,0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,0,0,676256,532742,0,0,550942
8887102,7022750,1462804,66831394,0,0,0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,42,0,498036,658840,0,0,140
140,0,507444,554988,0,0,0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,280,28,508340,573804,0,0,0
602,0,506366,711326,0,0,0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9531536,7243012,1523410,66853122,1110466,0,575638
9542540,6901286,1519798,70326340,1099140,0,576156,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9336964,6814836,1526014,71289134,1052310,0,569016
9444400,6777792,1518244,71342782,1053654,0,562464,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8976884,6858740,1562960,69026314,1043546,0,552832
9060576,6972602,1571038,68398988,1043336,0,554666,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9000390,6953072,1911322,68547192,1038226,0,553784
8894746,7026544,1547952,68627944,1046598,0,554624,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8967840,7014140,1549296,66351012,1066940,0,561932
9112572,7107226,1530914,67581430,1089186,0,565236,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9084572,7114030,1554980,67387040,1077622,0,564158
