System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-LMB,Socket 0-RMB,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,Proc Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT0,LLCRDMISSLAT (ns)-SKT0,UncFREQ (Ghz)-SKT0,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-LMB,Core3 (Socket 0)-RMB,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2023-11-28,13:50:32.641,0.47,2.35,0.20,1.31,16.30,51.51,0.68,0.47,0.0007,0.0023,  5160,1,0,1.74,1.16,100,53,22394.46,9527.47,2400.10,4.70,117.53,0.93,23.33,15.17,16.92,0.00,67.91,0.00,100.00,0.00,0.00,0.00,0.00,39.77,8.42 ,0.04 ,2.70,2.49,1.90,1.31,1.33,0.99,18.78,0.95,0.13,0.0002,0.0031,     0,0,0,98.90,1.10,0.00,0.00,0.00,54,5971.40,3145.42,2400.10,3.80,94.92,4.98,124.41,
2023-11-28,13:50:33.641,0.47,2.35,0.20,1.31,16.30,51.47,0.68,0.47,0.0007,0.0023,  5120,2,0,1.74,1.16,100,53,22408.94,9530.98,2399.94,4.70,117.56,0.93,23.34,15.17,16.79,0.00,68.04,0.00,100.00,0.00,0.00,0.00,0.00,39.77,8.42 ,0.07 ,2.70,2.49,1.90,1.31,1.33,0.99,18.77,0.95,0.13,0.0002,0.0031,     0,0,0,98.91,1.09,0.00,0.00,0.00,54,5978.27,3146.94,2399.94,3.80,94.99,4.98,124.54,
2023-11-28,13:50:34.641,0.47,2.35,0.20,1.30,16.36,51.52,0.68,0.47,0.0007,0.0023,  5240,2,0,1.75,1.16,100,53,22353.19,9518.12,2400.16,4.70,117.42,0.93,23.28,15.20,17.37,0.02,67.41,0.00,100.00,0.00,0.00,0.00,0.00,39.80,8.37 ,0.37 ,2.70,2.49,1.90,1.31,1.32,1.04,18.78,0.94,0.13,0.0002,0.0031,     0,0,0,98.83,1.17,0.00,0.00,0.00,54,5967.44,3138.89,2400.16,3.80,95.06,4.97,124.32,
2023-11-28,13:50:35.641,0.47,2.35,0.20,1.31,16.30,51.43,0.68,0.47,0.0007,0.0023,  5240,1,0,1.74,1.16,100,53,22414.14,9526.67,2400.05,4.71,117.64,0.93,23.35,15.16,16.83,0.00,68.01,0.00,100.00,0.00,0.00,0.00,0.00,39.78,8.40 ,0.07 ,2.70,2.49,1.90,1.31,1.33,1.01,18.76,0.95,0.13,0.0002,0.0031,     0,0,0,98.86,1.14,0.00,0.00,0.00,54,5987.85,3145.40,2400.05,3.81,95.18,4.99,124.74,
2023-11-28,13:50:36.641,0.47,2.35,0.20,1.31,16.37,51.62,0.68,0.47,0.0007,0.0023,  5240,1,0,1.75,1.16,100,53,22372.24,9529.04,2400.12,4.70,117.39,0.93,23.30,15.17,16.81,0.01,68.01,0.00,100.00,0.00,0.00,0.00,0.00,39.80,8.38 ,0.07 ,2.70,2.49,1.90,1.31,1.33,1.03,18.83,0.95,0.13,0.0002,0.0032,     0,0,0,98.87,1.13,0.00,0.00,0.00,54,5967.99,3145.54,2400.12,3.79,94.86,4.97,124.33,
2023-11-28,13:50:37.641,0.47,2.35,0.20,1.31,16.27,51.40,0.68,0.47,0.0007,0.0023,  5240,0,0,1.74,1.16,100,53,22388.00,9523.78,2399.94,4.70,117.54,0.93,23.32,15.17,16.93,0.00,67.90,0.00,100.00,0.00,0.00,0.00,0.00,39.78,8.42 ,0.07 ,2.70,2.49,1.90,1.31,1.33,0.99,18.74,0.95,0.13,0.0002,0.0031,     0,0,0,98.84,1.16,0.00,0.00,0.00,54,5976.40,3143.57,2399.94,3.80,95.06,4.98,124.51,
2023-11-28,13:50:38.641,0.47,2.35,0.20,1.31,16.34,51.64,0.68,0.47,0.0007,0.0023,  5240,0,0,1.75,1.16,100,53,22393.79,9533.07,2400.00,4.70,117.45,0.93,23.33,15.17,16.75,0.00,68.07,0.00,100.00,0.00,0.00,0.00,0.00,39.74,8.40 ,0.07 ,2.70,2.48,1.89,1.31,1.33,1.00,18.84,0.95,0.13,0.0002,0.0032,     0,0,0,98.92,1.08,0.00,0.00,0.00,54,5963.41,3147.47,2400.00,3.79,94.73,4.97,124.24,
2023-11-28,13:50:39.641,0.47,2.35,0.20,1.31,16.25,51.31,0.68,0.47,0.0007,0.0023,  5360,2,0,1.74,1.16,100,53,22399.86,9523.00,2399.95,4.70,117.61,0.93,23.33,15.20,17.11,0.05,67.64,0.00,100.00,0.00,0.00,0.00,0.00,39.71,8.37 ,0.37 ,2.70,2.50,1.91,1.31,1.32,0.99,18.69,0.95,0.13,0.0002,0.0031,     0,0,0,98.82,1.18,0.00,0.00,0.00,54,5988.98,3140.76,2399.95,3.81,95.34,4.99,124.77,
2023-11-28,13:50:40.641,0.47,2.35,0.20,1.31,16.36,51.62,0.68,0.47,0.0007,0.0023,  5400,1,0,1.75,1.16,100,53,22346.93,9520.13,2400.05,4.69,117.37,0.93,23.28,15.17,17.12,0.01,67.70,0.00,100.00,0.00,0.00,0.00,0.00,39.70,8.39 ,0.07 ,2.70,2.48,1.90,1.31,1.32,1.01,18.82,0.95,0.13,0.0002,0.0032,     0,0,0,98.88,1.12,0.00,0.00,0.00,54,5955.80,3142.77,2400.05,3.79,94.75,4.96,124.08,
2023-11-28,13:50:41.641,0.47,2.36,0.20,1.31,16.24,51.21,0.68,0.47,0.0007,0.0023,  5480,2,0,1.74,1.16,100,52,22423.05,9519.68,2400.16,4.71,117.77,0.93,23.36,15.17,17.08,0.00,67.74,0.00,100.00,0.00,0.00,0.00,0.00,39.73,8.38 ,0.07 ,2.70,2.50,1.91,1.31,1.32,1.01,18.68,0.95,0.13,0.0002,0.0031,     0,0,0,98.86,1.14,0.00,0.00,0.00,53,5999.80,3142.65,2400.16,3.82,95.46,5.00,124.99,
2023-11-28,13:50:42.641,0.47,2.35,0.20,1.31,16.34,51.57,0.68,0.47,0.0007,0.0023,  5480,1,0,1.75,1.16,100,53,22373.22,9525.90,2400.14,4.70,117.43,0.93,23.30,15.16,16.79,0.01,68.04,0.00,100.00,0.00,0.00,0.00,0.00,39.74,8.38 ,0.07 ,2.70,2.49,1.90,1.31,1.33,1.00,18.81,0.95,0.13,0.0002,0.0032,     0,0,0,98.86,1.14,0.00,0.00,0.00,54,5966.23,3145.50,2400.14,3.79,94.84,4.97,124.29,
