TIME 2024-02-13 10:06:42
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       5        0.15         67k         0.0     13718.4       126.6
       6        0.09         17k         0.0         0.0         0.0
       7        0.09         18k         0.0         0.0         0.0
       8        0.08         20k       120.0     16623.0        81.6
       9        0.09         15k         0.0         0.0         0.0
      10        1.44       3287k         0.0         0.0         0.0
      11        0.08         13k         0.0         0.0         0.0
      12        0.07         13k       200.0      9064.7        25.7
      13        0.08         15k         0.0         0.0         0.0
      14        0.21         23k       520.0      8107.9        59.2
      15        0.22         36k         0.0         0.0         0.0
      16        0.12         15k       200.0     10835.7        32.0
      17        0.12         17k         0.0         0.0         0.0
      18        0.13         20k         0.0         0.0         0.0
      19        0.18         32k         0.0         0.0         0.0
      20        0.20          9k         0.0         0.0         0.0
      21        0.20          5k         0.0         0.0         0.0
      22        1.32         24k         0.0         0.0         0.0
      23        0.25         14k         0.0         0.0         0.0
      24        0.15         19k         0.0         0.0         0.0
      25        0.15         16k         0.0         0.0         0.0
      26        0.15         29k       280.0     20943.3       388.4
      27        0.19         14k         0.0         0.0         0.0
      28        0.15         12k       160.0     14876.5        36.4
      29        0.15         12k         0.0         0.0         0.0
      30        0.15          3k         0.0         0.0         0.0
      31        0.15          7k       280.0     13380.5       150.1
      32        0.16          7k       440.0      8108.4        59.2
      33        0.16          4k       920.0     13466.6         6.8
      34        0.19          6k         0.0         0.0         0.0
      35        0.22          4k       600.0      3128.7        10.9
      36        0.18          4k       640.0     13467.1         6.8
      37        0.22          3k         0.0         0.0         0.0
      38        0.16          1k       760.0      1859.5         3.7
      39        0.16          0k       120.0      1121.7         1.1
TIME 2024-02-13 10:06:51
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.62         19k       840.0      1749.8         0.6
       1        0.65         18k       960.0      2329.7         2.6
       2        0.61         18k       200.0       690.6         1.6
       3        0.66         21k         0.0         0.0         0.0
       4        0.08          1k         0.0         0.0         0.0
       5        0.12          2k       800.0      1750.6         0.6
       6        0.08          1k      1120.0      2330.5         2.6
       7        0.08          1k         0.0       138.7         0.1
       8        0.10          0k         0.0         0.0         0.0
       9        0.08          1k         0.0         0.0         0.0
      10        2.07         26k         0.0 17592186034482.2         0.0
      11        0.07          0k         0.0 17592186034482.2         0.0
      12        0.10          1k         0.0         0.0         0.0
      13        0.07          0k         0.0 17592186034482.2         0.0
      14        0.11          1k       440.0       562.0         0.0
      15        0.12          0k         0.0 17592186038317.5         0.0
      16        0.13          0k         0.0         0.0         0.0
      17        0.12          1k         0.0         0.0         0.0
      18        0.12          2k         0.0 17592186032934.2         0.0
      19        0.12          1k         0.0 17592186034482.2         0.0
      20        0.17          0k         0.0         0.0         0.0
      21        0.23          0k       120.0       374.8         5.2
      22        0.20          0k         0.0         0.0         0.0
      23        0.28          1k       960.0      2333.2         2.1
      24        0.14          2k       680.0      1749.9         0.6
      25        0.14          1k       640.0      1749.9         0.7
      26        0.18          1k       320.0       495.2         2.3
      27        0.17          1k       320.0       495.2         2.3
      28        0.14          1k         0.0       138.7         0.1
      29        0.15          1k       440.0       589.1         0.3
      30        0.20          0k       400.0       562.4         0.3
      31        0.21          0k       200.0       634.8         0.0
      32        0.16          1k       520.0       402.4         0.0
      33        0.15          1k       320.0       425.3         0.0
      34        0.18          1k         0.0         0.0         0.0
      35        0.18          1k         0.0         0.0         0.0
      36        0.18          1k       520.0       260.7         0.0
      37        0.23          1k         0.0 17592186040746.7         0.0
      38        0.16          1k         0.0         0.0         0.0
      39        0.16          1k       280.0       706.4         1.2
TIME 2024-02-13 10:07:08
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.27        397k         0.0         0.0         0.0
       1        0.28        397k         0.0         0.0         0.0
       2        0.47        422k         0.0         0.0         0.0
       3        0.54        467k       840.0     24021.2       103.2
       4        0.08         17k         0.0         0.0         0.0
       5        0.18         53k       840.0     24021.2       103.2
       6        0.09         17k       400.0     14092.9       107.6
       7        0.08         18k       840.0     24021.2       103.2
       8        0.09         20k       200.0     16684.7        81.3
       9        0.09         17k         0.0         0.0         0.0
      10        1.57       3865k         0.0         0.0         0.0
      11        0.07         13k         0.0         0.0         0.0
      12        0.07         21k         0.0         0.0         0.0
      13        0.08         13k       320.0      8147.1        59.5
      14        0.15         18k         0.0         0.0         0.0
      15        0.18         20k         0.0         0.0         0.0
      16        0.15         12k         0.0         0.0         0.0
      17        0.12         16k      1640.0     10909.9        32.3
      18        0.12         20k       480.0      9029.6        63.6
      19        0.15         29k         0.0         0.0         0.0
      20        0.24         22k         0.0         0.0         0.0
      21        0.25          4k         0.0         0.0         0.0
      22        1.27         49k       560.0     15404.8        63.5
      23        0.24         14k       480.0     14094.8       107.6
      24        0.15         22k      1000.0     21064.5       133.3
      25        0.16         18k         0.0      4841.6        14.0
      26        0.16         17k         0.0         0.0         0.0
      27        0.15         17k         0.0         0.0         0.0
      28        0.15         12k       680.0     15404.8        63.5
      29        0.14         13k         0.0         0.0         0.0
      30        0.17          3k       400.0     11068.9        34.3
      31        0.16          7k       720.0      9030.6        63.6
      32        0.15          7k       440.0     11068.9        34.3
      33        0.16          4k         0.0         0.0         0.0
      34        0.17          6k         0.0         0.0         0.0
      35        0.18          5k       280.0      5424.1        11.1
      36        0.18          4k         0.0         0.0         0.0
      37        0.23          2k       440.0      9096.7        26.1
      38        0.16          1k       240.0     15762.1        21.9
      39        0.16          0k         0.0         0.0         0.0
