SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  610.89,  245.86,  610.73,  263.99,  544.92,  244.55,  659.01,  260.53, 2425.55, 1014.93,4263982294, 3440.48,   2425.55,   1014.93,   3440.48
  608.61,  244.84,  608.15,  262.90,  541.45,  242.86,  656.78,  259.55, 2414.98, 1010.15,4263989563, 3425.14,   2414.98,   1010.15,   3425.14
  607.90,  244.52,  608.44,  263.46,  542.59,  243.95,  656.67,  259.48, 2415.59, 1011.40,4268230326, 3426.99,   2415.59,   1011.40,   3426.99
  607.69,  244.47,  607.87,  263.13,  541.10,  243.49,  656.15,  259.53, 2412.81, 1010.61,4264263957, 3423.43,   2412.81,   1010.61,   3423.43
  609.03,  244.82,  608.76,  263.54,  542.12,  243.78,  657.59,  259.90, 2417.50, 1012.05,4264004069, 3429.55,   2417.50,   1012.05,   3429.55
  609.32,  245.22,  608.76,  264.00,  542.72,  244.11,  657.60,  260.16, 2418.41, 1013.49,4268286332, 3431.90,   2418.41,   1013.49,   3431.90
  607.70,  244.58,  607.43,  263.31,  541.12,  243.80,  655.01,  259.54, 2411.27, 1011.23,4264214592, 3422.50,   2411.27,   1011.23,   3422.50
  610.72,  245.99,  610.63,  264.57,  543.97,  244.62,  658.02,  260.74, 2423.33, 1015.92,4264221997, 3439.26,   2423.33,   1015.92,   3439.26
  609.80,  245.59,  610.12,  264.53,  543.74,  244.38,  658.36,  260.23, 2422.02, 1014.72,4268241137, 3436.74,   2422.02,   1014.72,   3436.74
  606.86,  244.41,  607.27,  263.28,  541.37,  243.23,  654.59,  258.87, 2410.08, 1009.79,4263978600, 3419.86,   2410.08,   1009.79,   3419.86
  606.95,  244.21,  608.48,  263.55,  540.66,  242.83,  654.16,  258.70, 2410.24, 1009.30,4263997143, 3419.54,   2410.24,   1009.30,   3419.54
  607.70,  244.67,  608.75,  263.56,  541.83,  243.43,  655.66,  259.23, 2413.93, 1010.89,4268483273, 3424.83,   2413.93,   1010.89,   3424.83
  607.02,  244.63,  607.85,  263.57,  540.84,  242.94,  654.60,  258.86, 2410.31, 1009.99,4263967585, 3420.31,   2410.31,   1009.99,   3420.31
  607.20,  244.46,  606.96,  263.29,  540.48,  242.96,  654.17,  258.86, 2408.80, 1009.58,4263974180, 3418.38,   2408.80,   1009.58,   3418.38
  606.86,  244.32,  606.58,  263.14,  540.90,  243.20,  654.21,  258.92, 2408.54, 1009.59,4268246845, 3418.13,   2408.54,   1009.59,   3418.13
  605.82,  244.20,  605.09,  262.29,  540.08,  242.69,  652.77,  258.27, 2403.76, 1007.45,4263987906, 3411.21,   2403.76,   1007.45,   3411.21
  607.77,  244.71,  607.45,  263.18,  542.37,  243.67,  655.03,  259.11, 2412.63, 1010.67,4263984646, 3423.30,   2412.63,   1010.67,   3423.30
  611.61,  246.04,  611.33,  264.91,  545.20,  244.97,  659.09,  260.54, 2427.24, 1016.46,4268271567, 3443.69,   2427.24,   1016.46,   3443.69
  611.96,  246.43,  611.64,  264.95,  545.36,  245.06,  659.66,  260.77, 2428.62, 1017.20,4264227971, 3445.83,   2428.62,   1017.20,   3445.83
  612.76,  246.59,  612.34,  265.02,  545.32,  245.24,  659.16,  260.53, 2429.58, 1017.37,4263979513, 3446.96,   2429.58,   1017.37,   3446.96
  613.50,  247.20,  613.05,  264.86,  546.06,  245.27,  660.85,  261.39, 2433.47, 1018.72,4268393592, 3452.19,   2433.47,   1018.72,   3452.19
  613.12,  247.02,  612.69,  265.22,  546.09,  245.50,  660.85,  261.34, 2432.75, 1019.07,4263973619, 3451.82,   2432.75,   1019.07,   3451.82
  617.13,  248.48,  616.57,  266.43,  550.15,  247.16,  665.18,  263.00, 2449.03, 1025.08,4268100658, 3474.10,   2449.03,   1025.08,   3474.10
