skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7384272,5317270,4951254,66867612,1011864,0,291480
7374836,5328638,4973024,66779874,1007874,14,294308,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7387184,5326622,4971834,66834124,1020978,14,294868
7386582,5332740,4952514,66814328,1017198,182,294952,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7386904,5338228,4888268,66788932,1015448,0,294518
7398020,5323122,4911564,66836070,1023358,0,294098,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7394856,5323234,4958030,66941826,1024030,0,294448
7387212,5321484,4982236,66882480,1021986,0,292740,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7390740,5316976,4951030,66890922,1023344,966,294392
7354144,5325726,5036248,66816624,1018752,1134,291788,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7383390,5322576,5037802,66819788,1021874,966,295232
7385406,5332628,5005658,66921064,1020348,966,294588,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7377832,5319720,4988298,66774638,1016260,966,293888
7393316,5307960,5326244,66969924,1020096,0,294686,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7381472,5323780,4971344,66894856,1007748,0,292250
7365680,5305440,4955328,66655302,1021020,168,291298,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7386540,5303340,4953998,66696126,1022420,0,286762
7383082,5315954,5005308,66772720,1017660,0,289884,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7375480,5309178,5088692,66817688,1017996,0,294714
7324674,5287422,5175744,66780028,1018066,0,293594,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7311556,5314162,4937856,66835972,1016106,0,293888
7314846,5293638,5159406,66837106,1022350,168,294420,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7222810,5292098,4938444,66737048,1023316,0,294504
7256690,5310536,6674332,66781974,1014118,0,291942,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7110558,5286092,5464662,66474016,1019060,0,291396
7158340,5301884,5003292,66745504,1009890,0,294700,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7199178,5296942,5003040,66635772,1019928,0,294462
7228928,5306784,4925480,66810352,1024786,168,293524,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7268744,5325320,4928000,66818906,1012158,0,294056
7312200,5321120,5585034,66660328,1021370,0,294532,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7377160,5297096,4991308,66837624,1019130,0,294168
7359884,5229322,5010432,66706486,1018906,0,293048,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7300608,5256608,4972338,66783766,1008630,14,294042
7371742,5248012,5038320,66707690,1011976,14,294518,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7374304,5256846,4985022,66805886,1021034,0,294504
7366618,5196450,4931416,66865148,1015042,0,294406,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7248234,5191312,5067902,66732638,1016764,0,293804
7359562,5211836,4898614,66762430,1018150,0,294098,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7355362,5232486,5105646,66691884,1019844,0,292992
7364980,5234334,4924234,66715236,1021664,0,294028,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7369992,5270006,5156508,66676260,1019466,0,293594
7371952,5319440,5133282,66671290,1022098,0,294182,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7323190,5318502,5353292,66674328,1020376,0,294168
7364238,5327700,5497702,66591070,1023540,0,293622,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7340928,5316486,4959570,66707256,1019046,0,293244
7353164,5323514,5103980,66713178,1014132,0,0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,0,28,1200724,13604710,0,966,0
0,28,637448,13841268,0,966,0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,0,28,872844,13861372,0,1946,0
0,28,657384,13722352,0,966,0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,14,28,697200,13912262,0,966,98
0,0,666260,13871662,0,1946,28,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,42,28,669298,13902336,0,980,0
