System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,LMB,RMB,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-11-28,14:30:48.355,0.32,1.61,0.20,1.30,35.97,54.83,0.34,0.36,0.0024,0.0036,  9720,0,0,2.50,1.03,100,54,15247.39,9499.59,2400.35,3.21,80.25,0.64,15.88,15.19,17.36,0.04,67.41,0.00,100.00,0.00,0.00,0.00,0.00,38.15,8.80 ,0.37 ,2.70,1.16,0.89,1.30,1.32,19.82,22.62,0.12,0.11,0.0071,0.0081,     0,0,0,98.58,1.42,0.00,0.00,0.00,57,2793.74,3131.38,2400.35,1.78,44.61,2.33,58.19,
2023-11-28,14:30:49.355,0.32,1.61,0.20,1.30,35.93,54.80,0.34,0.36,0.0024,0.0036,  9800,1,0,2.49,1.03,100,55,15251.34,9502.14,2400.22,3.21,80.25,0.64,15.89,15.17,17.13,0.01,67.69,0.00,100.00,0.00,0.00,0.00,0.00,38.18,8.81 ,0.33 ,2.70,1.16,0.89,1.31,1.32,19.82,22.62,0.12,0.11,0.0071,0.0081,     0,0,0,98.62,1.38,0.00,0.00,0.00,57,2795.30,3134.62,2400.22,1.78,44.59,2.33,58.23,
2023-11-28,14:30:50.355,0.32,1.61,0.20,1.31,35.96,54.80,0.34,0.36,0.0024,0.0036,  9920,0,0,2.50,1.03,100,55,15262.24,9503.60,2400.27,3.21,80.30,0.64,15.90,15.17,17.16,0.00,67.67,0.00,100.00,0.00,0.00,0.00,0.00,38.18,8.77 ,0.37 ,2.70,1.16,0.89,1.31,1.32,19.81,22.61,0.12,0.11,0.0071,0.0081,     0,0,0,98.65,1.35,0.00,0.00,0.00,57,2793.38,3135.47,2400.27,1.78,44.54,2.33,58.19,
2023-11-28,14:30:51.355,0.32,1.60,0.20,1.30,35.95,54.79,0.34,0.36,0.0024,0.0036, 10040,0,0,2.50,1.03,100,55,15244.37,9498.88,2400.37,3.21,80.24,0.64,15.88,15.19,17.42,0.02,67.38,0.00,100.00,0.00,0.00,0.00,0.00,38.18,8.82 ,0.37 ,2.70,1.16,0.89,1.30,1.32,19.79,22.58,0.12,0.11,0.0071,0.0081,     0,0,0,98.63,1.37,0.00,0.00,0.00,57,2790.89,3132.06,2400.37,1.78,44.55,2.33,58.14,
2023-11-28,14:30:52.355,0.32,1.61,0.20,1.31,35.93,54.78,0.34,0.36,0.0024,0.0036, 10080,0,0,2.50,1.03,100,55,15284.96,9510.85,2400.23,3.21,80.36,0.64,15.92,15.16,17.01,0.01,67.81,0.00,100.00,0.00,0.00,0.00,0.00,38.24,8.84 ,0.37 ,2.70,1.16,0.89,1.31,1.32,19.81,22.60,0.12,0.11,0.0071,0.0081,     0,0,0,98.72,1.28,0.00,0.00,0.00,57,2793.52,3139.23,2400.23,1.78,44.49,2.33,58.19,
2023-11-28,14:30:53.355,0.32,1.61,0.20,1.30,35.82,54.68,0.34,0.36,0.0023,0.0036, 10000,1,0,2.49,1.03,100,55,15265.01,9502.26,2400.39,3.21,80.32,0.64,15.90,15.18,17.27,0.05,67.51,0.00,100.00,0.00,0.00,0.00,0.00,38.19,8.77 ,0.37 ,2.70,1.16,0.89,1.31,1.32,19.77,22.56,0.12,0.11,0.0071,0.0081,     0,0,0,98.64,1.36,0.00,0.00,0.00,57,2789.77,3134.09,2400.39,1.78,44.51,2.32,58.11,
2023-11-28,14:30:54.355,0.32,1.61,0.20,1.31,35.87,54.72,0.34,0.36,0.0023,0.0036, 10160,0,0,2.49,1.03,100,55,15286.90,9510.28,2400.35,3.21,80.37,0.64,15.92,15.16,16.96,0.02,67.87,0.00,100.00,0.00,0.00,0.00,0.00,38.20,8.80 ,443388.47 ,2.70,1.16,0.89,1.31,1.32,19.78,22.57,0.12,0.11,0.0071,0.0081,     0,0,0,98.71,1.29,0.00,0.00,0.00,57,2791.32,3139.46,2400.35,1.78,44.46,2.33,58.14,
2023-11-28,14:30:55.356,0.32,1.61,0.20,1.31,35.90,54.67,0.34,0.36,0.0024,0.0036, 10160,0,0,2.50,1.03,100,55,15273.10,9497.11,2400.32,3.22,80.41,0.64,15.91,15.12,17.00,0.01,67.87,0.00,100.00,0.00,0.00,0.00,0.00,38.17,8.83 ,0.26 ,2.70,1.16,0.89,1.31,1.32,19.75,22.54,0.12,0.11,0.0071,0.0081,     0,0,0,98.66,1.34,0.00,0.00,0.00,57,2786.92,3137.72,2400.32,1.78,44.41,2.32,58.05,
2023-11-28,14:30:56.356,0.32,1.61,0.20,1.30,35.80,54.61,0.34,0.36,0.0023,0.0036, 14200,5,0,2.48,1.03,100,55,15359.40,9558.97,2400.32,3.21,80.34,0.64,16.00,15.35,17.00,0.02,67.63,0.00,100.00,0.00,0.00,0.00,0.00,38.25,8.77 ,0.11 ,2.70,1.16,0.88,1.31,1.32,19.76,22.44,0.12,0.11,0.0071,0.0081,     0,0,0,98.70,1.30,0.00,0.00,0.00,56,2775.48,3137.06,2400.32,1.77,44.24,2.31,57.82,
2023-11-28,14:30:57.356,0.32,1.61,0.20,1.30,35.68,54.49,0.35,0.36,0.0023,0.0036, 14320,0,0,2.47,1.03,100,55,15279.91,9496.13,2400.29,3.22,80.45,0.64,15.91,15.16,17.37,0.08,67.39,0.00,100.00,0.00,0.00,0.00,0.00,38.14,8.80 ,0.07 ,2.70,1.16,0.89,1.31,1.32,19.73,22.49,0.12,0.11,0.0071,0.0081,     0,0,0,98.67,1.33,0.00,0.00,0.00,57,2781.97,3133.97,2400.29,1.78,44.38,2.32,57.95,
2023-11-28,14:30:58.356,0.32,1.61,0.20,1.31,35.64,54.46,0.35,0.36,0.0023,0.0036, 14480,1,0,2.47,1.03,100,55,15289.88,9504.38,2400.30,3.22,80.44,0.64,15.92,15.16,17.10,0.01,67.73,0.00,100.00,0.00,0.00,0.00,0.00,38.20,8.82 ,0.07 ,2.70,1.16,0.89,1.31,1.32,19.71,22.49,0.12,0.11,0.0071,0.0081,     0,0,0,98.67,1.33,0.00,0.00,0.00,56,2783.39,3136.69,2400.30,1.77,44.37,2.32,57.98,
2023-11-28,14:30:59.356,0.32,1.61,0.20,1.30,35.74,54.60,0.35,0.36,0.0023,0.0036, 14440,0,0,2.48,1.03,100,55,15318.44,9522.41,2400.33,3.22,80.43,0.64,15.95,15.21,17.35,0.03,67.42,0.00,100.00,0.00,0.00,0.00,0.00,38.24,8.74 ,0.37 ,2.70,1.16,0.89,1.31,1.32,19.74,22.51,0.12,0.11,0.0071,0.0081,     0,0,0,98.88,1.12,0.00,0.00,0.00,56,2786.22,3140.64,2400.33,1.77,44.36,2.32,58.04,
2023-11-28,14:31:00.356,0.32,1.61,0.20,1.30,35.89,54.72,0.34,0.36,0.0023,0.0036, 15880,3,0,2.49,1.04,100,54,15358.83,9545.08,2400.31,3.22,80.45,0.64,16.00,15.30,17.39,0.01,67.30,0.00,100.00,0.00,0.00,0.00,0.00,38.26,8.81 ,0.07 ,2.70,1.16,0.89,1.31,1.32,19.73,22.47,0.12,0.11,0.0071,0.0081,     0,0,0,98.91,1.09,0.00,0.00,0.00,57,2780.50,3140.32,2400.31,1.77,44.27,2.32,57.92,
2023-11-28,14:31:01.356,0.32,1.61,0.20,1.31,35.69,54.56,0.35,0.36,0.0023,0.0036, 16120,0,0,2.47,1.03,100,54,15333.79,9530.92,2400.40,3.22,80.44,0.64,15.97,15.20,17.04,0.01,67.75,0.00,100.00,0.00,0.00,0.00,0.00,38.19,8.78 ,0.07 ,2.70,1.16,0.89,1.31,1.32,19.73,22.50,0.12,0.11,0.0071,0.0081,     0,0,0,98.88,1.12,0.00,0.00,0.00,56,2786.16,3144.31,2400.40,1.77,44.30,2.32,58.04,
2023-11-28,14:31:02.357,0.32,1.61,0.20,1.31,35.78,54.61,0.34,0.36,0.0023,0.0036, 16240,1,0,2.48,1.03,100,55,15340.97,9531.96,2400.44,3.22,80.47,0.64,15.98,15.18,16.88,0.01,67.93,0.00,100.00,0.00,0.00,0.00,0.00,38.22,8.80 ,0.07 ,2.70,1.16,0.89,1.31,1.33,19.73,22.50,0.12,0.11,0.0071,0.0081,     0,0,0,98.91,1.09,0.00,0.00,0.00,57,2784.88,3146.52,2400.44,1.77,44.25,2.32,58.01,
2023-11-28,14:31:03.357,0.32,1.61,0.20,1.31,35.80,54.62,0.34,0.36,0.0023,0.0036, 16320,0,0,2.49,1.03,100,54,15336.39,9530.16,2400.32,3.22,80.46,0.64,15.97,15.19,16.98,0.00,67.83,0.00,100.00,0.00,0.00,0.00,0.00,38.22,8.83 ,0.07 ,2.70,1.16,0.89,1.31,1.32,19.72,22.49,0.12,0.11,0.0071,0.0081,     0,0,0,98.91,1.09,0.00,0.00,0.00,57,2784.43,3145.55,2400.32,1.77,44.26,2.32,58.00,
2023-11-28,14:31:04.357,0.32,1.61,0.20,1.31,35.66,54.51,0.35,0.36,0.0023,0.0036, 16360,0,0,2.47,1.03,100,54,15330.14,9523.98,2400.29,3.22,80.48,0.64,15.97,15.19,17.08,0.03,67.70,0.00,100.00,0.00,0.00,0.00,0.00,38.23,8.81 ,0.15 ,2.70,1.16,0.89,1.31,1.32,19.69,22.46,0.12,0.11,0.0071,0.0081,     0,0,0,98.85,1.15,0.00,0.00,0.00,56,2781.41,3142.29,2400.29,1.77,44.26,2.32,57.94,
2023-11-28,14:31:05.357,0.32,1.61,0.20,1.31,35.70,54.52,0.35,0.36,0.0023,0.0036, 16520,0,0,2.48,1.03,100,55,15323.57,9516.20,2400.19,3.22,80.51,0.64,15.96,15.17,17.17,0.01,67.65,0.00,100.00,0.00,0.00,0.00,0.00,38.19,8.79 ,0.07 ,2.70,1.16,0.88,1.31,1.32,19.68,22.45,0.12,0.11,0.0071,0.0081,     0,0,0,98.86,1.14,0.00,0.00,0.00,57,2780.12,3141.57,2400.19,1.77,44.25,2.32,57.91,
2023-11-28,14:31:06.357,0.32,1.61,0.20,1.31,35.85,54.61,0.34,0.36,0.0023,0.0036, 16480,0,0,2.49,1.04,100,55,15338.32,9529.18,2400.24,3.22,80.48,0.64,15.98,15.19,16.98,0.04,67.79,0.00,100.00,0.00,0.00,0.00,0.00,38.25,8.77 ,0.07 ,2.70,1.16,0.88,1.31,1.32,19.70,22.45,0.12,0.11,0.0071,0.0081,     0,0,0,98.90,1.10,0.00,0.00,0.00,57,2780.37,3145.15,2400.24,1.77,44.20,2.32,57.92,
