Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708641702,Device: id=0,TX,10.96678851996,5614.9962342195,7369.6823974131,353284775,45538076032
1708641703,Device: id=0,TX,10.994956824175,5629.4184059748,7388.6114978428,364279788,46241756928
1708641704,Device: id=0,TX,11.01085077065,5637.5561065712,7399.2922298752,375290677,46946453888
1708641705,Device: id=0,TX,10.992211475642,5628.0127875274,7386.7666236301,386282918,47649957376
1708641706,Device: id=0,TX,10.983745571791,5623.6782447542,7381.0775362407,397266717,48352920576
1708641707,Device: id=0,TX,10.969707864209,5616.4940104659,7371.6472687393,408236453,49054984128
1708641708,Device: id=0,TX,10.914645448773,5588.2989817711,7334.6422535748,419151117,49753522688
1708641709,Device: id=0,TX,10.917295361569,5589.6557371212,7336.4229949723,430068459,50452232640
1708641710,Device: id=0,TX,10.973804245251,5618.5882855678,7374.3969648079,441042276,51154556992
1708641711,Device: id=0,TX,10.892311826319,5576.8610950916,7319.6309873027,451934657,51851669056
1708641712,Device: id=0,TX,10.824837991122,5542.3206354422,7274.2947140217,462759532,52544461504
1708641713,Device: id=0,TX,11.018887613807,5641.6709702678,7404.6929884769,473778450,53249672320
1708641714,Device: id=0,TX,10.942592171974,5602.6046320542,7353.41937957,484721057,53949998848
1708641715,Device: id=0,TX,11.01165051849,5637.9655774643,7399.8296604228,495732765,54654748224
1708641716,Device: id=0,TX,11.071218479808,5668.4679576504,7439.8629144196,506804014,55363308672
1708641717,Device: id=0,TX,11.051603576232,5658.4210310307,7426.6776032278,517855636,56070612480
1708641718,Device: id=0,TX,11.044353405569,5654.7063836536,7421.8029285446,528900000,56777451456
1708641719,Device: id=0,TX,11.024229158836,5644.4058413201,7408.2825067338,539924308,57483007232
1708641720,Device: id=0,TX,11.003222499152,5633.650431564,7394.1660314283,550927574,58187216320
1708641721,Device: id=0,TX,11.02933079728,5647.0178802036,7411.7108077684,561956985,58893098688
1708641722,Device: id=0,TX,10.676213333911,5466.2217389582,7174.4158723839,572633281,59576381696
1708641723,Device: id=0,TX,11.04814159809,5656.6525942084,7424.3552499028,583681460,60283465664
1708641724,Device: id=0,TX,11.070221214563,5667.9532618564,7439.1886561866,594751711,60991961728
1708641725,Device: id=0,TX,11.00122231856,5632.6263391008,7392.8219100705,605752978,61696042880
1708641726,Device: id=0,TX,11.060425416494,5662.9352532488,7432.6033198878,616813421,62403910912
1708641727,Device: id=0,TX,11.041240932915,5653.1158696518,7419.7144189182,627854676,63110551296
1708641728,Device: id=0,TX,11.04397340225,5654.5148939497,7421.5506383098,638898703,63817369088
1708641729,Device: id=0,TX,11.074070280115,5669.9280794112,7441.7793242296,649972794,64526111424
1708641730,Device: id=0,TX,11.038389781535,5651.6555681458,7417.7979331914,661011216,65232570432
1708641731,Device: id=0,TX,10.960289578417,5611.6687761493,7365.3151086961,671971515,65934029632
1708641732,Device: id=0,TX,10.295966907124,5271.5355684469,6918.8902735868,682267497,66592972544
1708641733,Device: id=0,TX,11.040294891988,5652.6314966962,7419.0786794144,693307829,67299553856
1708641734,Device: id=0,TX,11.058264448649,5661.832421706,7431.1547334898,704366119,68007284544
1708641735,Device: id=0,TX,11.062026725206,5663.754611324,7433.678887357,715428212,68715258112
1708641736,Device: id=0,TX,10.994609053037,5629.2403471538,7388.3777956397,726422847,69418914816
1708641737,Device: id=0,TX,11.041325862361,5653.1593535262,7419.7714915039,737464228,70125563264
1708641738,Device: id=0,TX,11.049581229165,5657.3861013301,7425.3190979965,748513862,70832739904
1708641739,Device: id=0,TX,11.053040328036,5659.1602319525,7427.6466844382,759566908,71540135296
1708641740,Device: id=0,TX,11.061009728557,5663.2374930187,7432.9990495877,770627967,72248043136
1708641741,Device: id=0,TX,10.983748496875,5623.6797423998,7381.0795018998,781611725,72951003712
1708641742,Device: id=0,TX,10.743070959463,5500.4497712636,7219.3411247777,792354873,73638564864
1708641743,Device: id=0,TX,11.043613547031,5654.3306480781,7421.308815603,803398522,74345358464
1708641744,Device: id=0,TX,11.053477761141,5659.3841976954,7427.9406394779,814452027,75052783232
1708641745,Device: id=0,TX,11.029893747352,5647.3066226416,7412.0896222179,825481948,75758698304
