Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708640360,Device: id=1,RX,2.3346342058508,9562.6586351698,9936.200108106,557508623,79766385664
1708640361,Device: id=1,RX,2.3357390322769,9567.1840042507,9940.902249415,559844396,80962301056
1708640362,Device: id=1,RX,2.3345697285392,9562.3945361323,9935.9256926986,562178993,82157614336
1708640363,Device: id=1,RX,2.3360734192588,9568.5536533098,9942.3254003912,564515086,83353693568
1708640364,Device: id=1,RX,2.3343717276636,9561.5835245222,9935.0830009484,566849467,84548896256
1708640365,Device: id=1,RX,2.3352108501023,9565.020570039,9938.6543060553,569184693,85744531584
1708640366,Device: id=1,RX,2.3360701388397,9568.5402166951,9942.3114389095,571520769,86940602112
1708640367,Device: id=1,RX,2.2938105309399,9395.4448627748,9762.4545477252,573814613,88115049856
1708640368,Device: id=1,RX,2.2473935247393,9205.3208053752,9564.9037693335,576062038,89265731072
1708640369,Device: id=1,RX,2.3411642370186,9589.4056428831,9963.9919208061,578403244,90464428160
1708640370,Device: id=1,RX,1.4264395519619,9697.403691762,9925.6340200759,579829685,91676604852
1708640371,Device: id=1,RX,0.80499381171015,9775.8337300737,9904.6327399473,580634727,92898657218
1708640372,Device: id=1,RX,0.80352195295011,9757.959477291,9886.522989763,581438297,94118475088
1708640373,Device: id=1,RX,0.80622071273683,9790.7453594147,9919.7406734526,582244566,95342391558
1708640374,Device: id=1,RX,0.80460782507442,9771.1341650965,9899.8714171085,583049222,96563856458
1708640375,Device: id=1,RX,0.79583126203098,9664.5758700826,9791.9088720076,583845070,97771953850
1708640376,Device: id=1,RX,0.80481820555937,9773.6890257811,9902.4599386706,584649939,98993742084
1708640377,Device: id=1,RX,0.80184264243142,9737.5659303162,9865.8607531052,585451827,100211006678
1708640378,Device: id=1,RX,0.7249560870643,8803.8556018443,8919.8485757746,586176818,101311541626
1708640379,Device: id=1,RX,0.80764367790651,9808.013705162,9937.236693627,586984510,102537616692
1708640380,Device: id=1,RX,0.80752573986375,9806.5814655699,9935.7855839481,587792084,103763512634
1708640381,Device: id=1,RX,0.80833500018573,9816.4212661833,9945.7548662131,588600476,104990651818
1708640382,Device: id=1,RX,0.80741934605799,9805.2894192121,9934.4765145814,589407945,106216388370
1708640383,Device: id=1,RX,0.80817549675898,9814.4721131158,9943.7801925972,590216155,107443249760
1708640384,Device: id=1,RX,0.80722466689059,9802.9252353851,9932.0811820876,591023428,108668688784
1708640385,Device: id=1,RX,0.80813364633333,9813.9638817373,9943.2652651507,591831610,109895507670
1708640386,Device: id=1,RX,0.80816363099134,9814.3280154243,9943.634196383,592639822,111122372096
1708640387,Device: id=1,RX,0.80846301957842,9817.9516473423,9947.3057304749,593448340,112349699512
1708640388,Device: id=1,RX,0.78432302353244,9524.8076784439,9650.2993622091,594232710,113540371782
1708640389,Device: id=1,RX,0.7818081342284,9494.2668623237,9619.3561638003,595014536,114727182260
1708640390,Device: id=1,RX,0.81076444286284,9845.924418065,9975.646728923,595825349,115957996522
1708640391,Device: id=1,RX,0.81102844064778,9849.1182638924,9978.8828143961,596636426,117189210018
