SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
    3.25,    0.85,   18.64,    9.14,   21.89,   10.00,    104820,   31.89,    2.95,    1.42,    6.16,    4.76,    9.11,    6.17,     52408,   15.28,     31.00,     16.17,     47.16
    3.16,    1.02,   18.25,    9.21,   21.41,   10.23,    104918,   31.64,    4.31,    1.86,    7.51,    5.19,   11.82,    7.05,     52459,   18.87,     33.23,     17.28,     50.51
    3.66,    0.89,   19.47,    9.46,   23.14,   10.35,    104830,   33.49,    4.03,    2.03,    7.25,    5.34,   11.27,    7.37,     52407,   18.64,     34.41,     17.72,     52.13
    3.12,    0.96,   18.04,    9.06,   21.15,   10.02,    104944,   31.17,    3.52,    1.43,    6.73,    4.77,   10.25,    6.20,     52459,   16.45,     31.40,     16.22,     47.62
   14.28,    5.53,   53.08,   27.18,   67.35,   32.70,    104852,  100.06,   33.63,   20.35,   35.81,   23.62,   69.44,   43.97,     52452,  113.41,    136.79,     76.67,    213.47
    4.66,    1.44,   24.19,   11.97,   28.85,   13.40,    104944,   42.26,    4.68,    2.09,    7.90,    5.42,   12.58,    7.51,     52459,   20.09,     41.43,     20.91,     62.35
    3.08,    0.88,   17.73,    8.83,   20.81,    9.71,    104820,   30.52,    4.12,    2.14,    7.32,    5.49,   11.44,    7.63,     52407,   19.06,     32.25,     17.34,     49.59
    3.54,    1.06,   19.91,    9.94,   23.45,   11.00,    104932,   34.45,    3.82,    1.68,    7.07,    5.01,   10.89,    6.70,     52458,   17.59,     34.34,     17.70,     52.04
    3.19,    0.96,   18.53,    9.22,   21.72,   10.18,    104811,   31.90,    2.90,    1.20,    6.12,    4.55,    9.02,    5.75,     52402,   14.78,     30.74,     15.94,     46.68
    3.61,    1.12,   20.07,   10.08,   23.68,   11.20,    104929,   34.88,    2.95,    1.17,    6.15,    4.50,    9.10,    5.68,     52454,   14.78,     32.78,     16.88,     49.67
    3.27,    0.97,   18.78,    9.37,   22.06,   10.34,    104813,   32.40,    2.78,    1.17,    5.98,    4.49,    8.76,    5.66,     52403,   14.42,     30.82,     16.00,     46.82
    3.37,    1.02,   19.04,    9.58,   22.41,   10.60,    104916,   33.01,    3.84,    1.68,    7.06,    5.01,   10.91,    6.70,     52457,   17.60,     33.32,     17.30,     50.61
    3.27,    0.94,   18.72,    9.28,   21.99,   10.22,    104812,   32.21,    3.53,    1.57,    6.75,    4.91,   10.29,    6.48,     52409,   16.77,     32.28,     16.70,     48.98
    3.16,    0.84,   18.28,    9.06,   21.44,    9.90,    104922,   31.34,    3.72,    1.70,    6.90,    4.99,   10.63,    6.69,     52456,   17.32,     32.07,     16.59,     48.66
   24.94,   16.09,   96.89,   54.05,  121.83,   70.14,    104916,  191.97,   25.03,    9.21,   26.29,   12.29,   51.32,   21.50,     52421,   72.81,    173.15,     91.63,    264.79
    4.21,    2.37,   21.96,   12.13,   26.17,   14.50,    104930,   40.67,    6.19,    2.40,    9.39,    5.71,   15.59,    8.11,     52460,   23.70,     41.76,     22.61,     64.36
    3.42,    1.36,   19.22,    9.89,   22.65,   11.25,    104821,   33.89,    3.54,    1.52,    6.75,    4.85,   10.29,    6.37,     52403,   16.66,     32.94,     17.62,     50.56
    3.42,    1.20,   19.20,    9.77,   22.62,   10.97,    104919,   33.59,    3.34,    1.36,    6.52,    4.67,    9.86,    6.03,     52457,   15.89,     32.48,     17.00,     49.48
    2.94,    0.92,   17.39,    8.69,   20.33,    9.61,    104816,   29.94,    4.22,    2.05,    7.42,    5.37,   11.64,    7.42,     52406,   19.06,     31.97,     17.02,     49.00
    3.47,    1.06,   19.64,    9.82,   23.11,   10.88,    104924,   33.99,    3.22,    1.36,    6.43,    4.70,    9.66,    6.06,     52456,   15.72,     32.77,     16.94,     49.71
    3.10,    1.01,   18.17,    9.10,   21.27,   10.11,    104817,   31.38,    2.76,    1.15,    5.97,    4.48,    8.73,    5.63,     52411,   14.37,     30.00,     15.75,     45.74
    3.35,    1.12,   19.15,    9.69,   22.50,   10.80,    104918,   33.30,    3.08,    1.16,    6.27,    4.50,    9.35,    5.67,     52458,   15.01,     31.85,     16.47,     48.32
    3.14,    1.03,   18.23,    9.17,   21.37,   10.20,    104806,   31.57,    2.62,    1.05,    5.82,    4.38,    8.43,    5.43,     52402,   13.86,     29.80,     15.63,     45.43
    3.17,    1.13,   18.39,    9.38,   21.56,   10.52,    104911,   32.08,    4.22,    1.74,    7.42,    5.09,   11.64,    6.83,     52456,   18.47,     33.20,     17.35,     50.55
   15.28,    8.29,   62.39,   33.05,   77.68,   41.34,    104882,  119.02,   15.14,    8.35,   18.18,   11.71,   33.33,   20.06,     52422,   53.39,    111.00,     61.41,    172.41
   15.39,    8.44,   64.36,   34.23,   79.75,   42.67,    104996,  122.42,   12.67,    4.60,   15.47,    7.93,   28.15,   12.53,     52464,   40.67,    107.90,     55.19,    163.09
    3.51,    1.48,   19.53,   10.11,   23.04,   11.59,    104825,   34.63,    3.83,    1.63,    7.07,    4.95,   10.90,    6.58,     52409,   17.48,     33.94,     18.17,     52.11
    3.11,    1.05,   17.98,    9.14,   21.09,   10.19,    104816,   31.27,    3.78,    1.58,    7.00,    4.92,   10.79,    6.50,     52403,   17.28,     31.87,     16.68,     48.55
    3.34,    0.99,   18.93,    9.39,   22.27,   10.38,    104915,   32.64,    2.90,    1.33,    6.13,    4.65,    9.03,    5.98,     52455,   15.01,     31.30,     16.36,     47.66
    3.31,    1.18,   18.81,    9.60,   22.12,   10.78,    104920,   32.90,    4.70,    1.95,    7.93,    5.28,   12.63,    7.23,     52462,   19.86,     34.75,     18.01,     52.76
    3.22,    0.93,   18.42,    9.15,   21.63,   10.08,    104812,   31.72,    2.73,    1.18,    5.94,    4.50,    8.67,    5.68,     52403,   14.35,     30.31,     15.76,     46.07
    3.08,    0.91,   18.08,    9.03,   21.16,    9.93,    104926,   31.09,    3.47,    1.58,    6.70,    4.90,   10.17,    6.47,     52460,   16.64,     31.33,     16.41,     47.73
    2.73,    0.66,   16.54,    8.08,   19.28,    8.74,    104825,   28.02,    3.11,    1.64,    6.33,    5.00,    9.44,    6.64,     52406,   16.08,     28.72,     15.38,     44.10
    3.67,    1.00,   20.09,    9.91,   23.76,   10.91,    104821,   34.67,    3.46,    1.45,    6.67,    4.80,   10.13,    6.25,     52402,   16.38,     33.88,     17.16,     51.05
    4.08,    1.49,   20.98,   10.75,   25.06,   12.24,    104923,   37.30,    7.68,    5.02,   10.89,    8.37,   18.56,   13.39,     52467,   31.95,     43.62,     25.63,     69.25
   14.64,    6.12,   54.52,   28.51,   69.16,   34.63,    104897,  103.79,   35.09,   19.62,   36.79,   22.74,   71.89,   42.36,     52433,  114.25,    141.04,     76.99,    218.03
    3.84,    1.13,   20.51,   10.12,   24.35,   11.25,    104927,   35.60,    4.60,    2.13,    7.83,    5.49,   12.43,    7.62,     52458,   20.06,     36.79,     18.87,     55.66
    3.43,    0.97,   19.15,    9.52,   22.58,   10.49,    104817,   33.07,    3.77,    1.81,    6.97,    5.17,   10.75,    6.98,     52404,   17.73,     33.33,     17.47,     50.80
    3.54,    1.03,   19.81,    9.78,   23.34,   10.81,    104928,   34.15,    3.13,    1.48,    6.35,    4.81,    9.47,    6.29,     52459,   15.77,     32.82,     17.10,     49.92
    3.43,    0.92,   19.08,    9.43,   22.52,   10.35,    104805,   32.87,    3.79,    1.82,    7.02,    5.15,   10.81,    6.97,     52408,   17.78,     33.33,     17.32,     50.65
   16.07,   32.23,   64.97,   58.11,   81.03,   90.35,    104996,  171.38,   26.19,    1.82,   29.46,    5.12,   55.65,    6.94,     52493,   62.59,    136.68,     97.29,    233.97
  141.07,  345.61,  517.68,  542.71,  658.75,  888.32,    105337, 1547.07,  264.21,    1.74,  268.86,    5.09,  533.07,    6.83,     52729,  539.90,   1191.82,    895.15,   2086.96
  141.08,  345.20,  519.33,  542.89,  660.41,  888.09,    105480, 1548.50,  278.38,    1.18,  283.65,    4.53,  562.03,    5.71,     52825,  567.74,   1222.43,    893.80,   2116.23
  140.69,  344.80,  517.82,  542.09,  658.51,  886.88,    105370, 1545.39,  286.53,    1.59,  293.50,    4.92,  580.04,    6.51,     52843,  586.55,   1238.54,    893.39,   2131.94
  129.29,  310.53,  478.78,  494.93,  608.07,  805.47,    105423, 1413.54,  298.57,    2.85,  304.94,    6.17,  603.51,    9.02,     52930,  612.53,   1211.57,    814.49,   2026.06
   73.28,  134.93,  278.55,  251.62,  351.83,  386.55,    105033,  738.39,  397.99,   21.32,  402.13,   24.81,  800.12,   46.13,     53289,  846.26,   1151.96,    432.69,   1584.64
   55.92,   98.04,  220.47,  195.45,  276.39,  293.49,    104924,  569.88,  369.17,    2.87,  373.37,    6.20,  742.55,    9.07,     53272,  751.61,   1018.94,    302.56,   1321.49
   56.43,   96.68,  223.31,  194.90,  279.75,  291.58,    105026,  571.33,  342.46,    1.37,  341.96,    4.72,  684.42,    6.08,     53053,  690.50,    964.17,    297.66,   1261.83
   54.12,   93.38,  215.19,  188.86,  269.32,  282.24,    104909,  551.56,  326.44,    1.70,  328.97,    5.02,  655.41,    6.72,     52980,  662.13,    924.73,    288.96,   1213.69
   55.66,   94.92,  220.91,  192.15,  276.57,  287.07,    105020,  563.64,  319.19,    1.54,  322.88,    4.89,  642.07,    6.43,     53016,  648.50,    918.64,    293.50,   1212.14
   62.26,   99.76,  243.28,  204.00,  305.54,  303.75,    105000,  609.30,  312.71,    1.38,  319.25,    4.70,  631.96,    6.08,     52938,  638.04,    937.50,    309.83,   1247.33
   55.04,   95.22,  218.16,  191.63,  273.20,  286.85,    104905,  560.05,  316.31,    2.30,  323.23,    5.63,  639.54,    7.93,     52970,  647.47,    912.74,    294.77,   1207.52
   54.50,   93.75,  216.57,  189.41,  271.07,  283.16,    105041,  554.23,  316.14,    1.42,  322.32,    4.75,  638.46,    6.16,     53026,  644.62,    909.53,    289.33,   1198.86
   54.92,   95.70,  218.76,  192.67,  273.68,  288.37,    104909,  562.05,  310.63,    1.84,  318.17,    5.17,  628.80,    7.01,     52964,  635.81,    902.48,    295.38,   1197.86
   60.76,  109.27,  238.85,  213.10,  299.62,  322.37,    105066,  621.99,  314.28,    2.35,  321.98,    5.69,  636.26,    8.04,     52993,  644.29,    935.87,    330.41,   1266.28
   73.79,  117.63,  281.47,  235.60,  355.26,  353.23,    105033,  708.49,  381.10,   19.33,  388.37,   22.52,  769.47,   41.85,     53244,  811.33,   1124.73,    395.08,   1519.81
   59.01,   99.12,  232.93,  201.54,  291.93,  300.66,    104903,  592.60,  378.24,    3.05,  381.33,    6.38,  759.57,    9.44,     53230,  769.01,   1051.50,    310.10,   1361.60
   57.42,   91.58,  227.42,  191.78,  284.85,  283.36,    105007,  568.21,  346.34,    2.39,  352.02,    5.74,  698.37,    8.13,     53100,  706.50,    983.21,    291.49,   1274.70
