SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  448.15,  265.89,  450.87,  266.27,  438.71,  272.41,  453.38,  265.90, 1791.12, 1070.47,4264220995, 2861.59,   1791.12,   1070.47,   2861.59
  446.23,  265.02,  449.67,  265.67,  437.08,  271.77,  451.51,  264.99, 1784.49, 1067.44,4264225852, 2851.93,   1784.49,   1067.44,   2851.93
  448.18,  265.86,  451.89,  266.88,  439.62,  272.89,  453.73,  266.07, 1793.43, 1071.70,4268248026, 2865.13,   1793.43,   1071.70,   2865.13
  446.23,  264.78,  449.61,  265.71,  437.57,  271.92,  451.18,  264.66, 1784.58, 1067.06,4264221039, 2851.64,   1784.58,   1067.06,   2851.64
  445.66,  264.77,  449.04,  265.46,  436.72,  271.48,  450.90,  264.74, 1782.33, 1066.45,4263959603, 2848.78,   1782.33,   1066.45,   2848.78
  447.42,  265.56,  451.14,  266.57,  439.02,  272.64,  452.83,  265.51, 1790.41, 1070.28,4268488895, 2860.69,   1790.41,   1070.28,   2860.69
  447.92,  265.63,  451.38,  266.64,  439.06,  272.75,  453.13,  265.64, 1791.49, 1070.66,4264219018, 2862.15,   1791.49,   1070.66,   2862.15
  447.35,  265.54,  450.52,  266.05,  438.35,  272.33,  452.31,  265.23, 1788.53, 1069.15,4263993226, 2857.68,   1788.53,   1069.15,   2857.68
  446.24,  265.11,  449.57,  265.68,  437.61,  272.15,  451.01,  264.63, 1784.43, 1067.57,4268243881, 2852.00,   1784.43,   1067.57,   2852.00
  444.47,  264.01,  448.44,  265.10,  436.01,  270.77,  449.92,  264.19, 1778.84, 1064.07,4263979932, 2842.91,   1778.84,   1064.07,   2842.91
  449.13,  266.15,  452.67,  267.04,  440.38,  273.01,  454.54,  266.39, 1796.71, 1072.59,4264227350, 2869.30,   1796.71,   1072.59,   2869.30
  446.88,  265.33,  450.45,  265.94,  438.22,  272.19,  451.84,  265.30, 1787.39, 1068.76,4268611839, 2856.15,   1787.39,   1068.76,   2856.15
  449.14,  266.38,  452.86,  267.15,  440.26,  273.17,  454.48,  266.75, 1796.74, 1073.45,4263970663, 2870.19,   1796.74,   1073.45,   2870.19
  455.26,  269.18,  458.75,  270.13,  446.43,  276.20,  460.59,  269.53, 1821.03, 1085.04,4263963550, 2906.07,   1821.03,   1085.04,   2906.07
  455.15,  269.28,  458.27,  269.96,  446.37,  276.38,  460.36,  269.37, 1820.15, 1084.99,4268245666, 2905.14,   1820.15,   1084.99,   2905.14
  454.20,  268.83,  457.49,  269.65,  445.38,  275.62,  459.50,  269.00, 1816.57, 1083.10,4263990231, 2899.68,   1816.57,   1083.10,   2899.68
  450.23,  266.72,  453.93,  267.78,  441.57,  273.63,  455.90,  267.23, 1801.62, 1075.36,4264228098, 2876.99,   1801.62,   1075.36,   2876.99
  452.16,  267.68,  455.74,  268.97,  443.45,  274.61,  457.57,  268.13, 1808.92, 1079.39,4268248673, 2888.31,   1808.92,   1079.39,   2888.31
  450.96,  267.07,  453.88,  267.81,  442.04,  273.88,  455.89,  267.18, 1802.77, 1075.94,4264228017, 2878.71,   1802.77,   1075.94,   2878.71
  453.02,  267.97,  456.06,  268.92,  444.31,  275.01,  458.16,  268.20, 1811.55, 1080.10,4263957629, 2891.65,   1811.55,   1080.10,   2891.65
  457.45,  270.24,  460.83,  271.24,  448.73,  277.40,  463.15,  270.70, 1830.15, 1089.58,4268248891, 2919.73,   1830.15,   1089.58,   2919.73
  454.08,  268.57,  456.86,  269.23,  445.35,  275.94,  459.66,  268.81, 1815.95, 1082.55,4263956018, 2898.49,   1815.95,   1082.55,   2898.49
  453.82,  267.50,  456.26,  268.09,  444.90,  274.79,  459.14,  267.74, 1814.12, 1078.12,4263976402, 2892.24,   1814.12,   1078.12,   2892.24
  453.82,  268.28,  456.85,  269.09,  444.90,  275.49,  459.02,  268.66, 1814.59, 1081.52,4268245404, 2896.11,   1814.59,   1081.52,   2896.11
  454.04,  268.51,  456.92,  269.33,  444.65,  275.37,  458.95,  268.54, 1814.55, 1081.75,4263950792, 2896.30,   1814.55,   1081.75,   2896.30
  452.75,  267.87,  455.72,  268.55,  443.92,  274.87,  457.95,  268.09, 1810.34, 1079.38,4264093489, 2889.72,   1810.34,   1079.38,   2889.72
  449.67,  266.49,  452.63,  267.05,  440.70,  273.31,  454.83,  266.50, 1797.84, 1073.35,4268252143, 2871.18,   1797.84,   1073.35,   2871.18
  453.79,  268.43,  456.93,  269.16,  444.76,  275.43,  459.28,  268.62, 1814.76, 1081.63,4263834615, 2896.39,   1814.76,   1081.63,   2896.39
  454.62,  268.81,  457.83,  269.72,  445.23,  275.71,  460.16,  269.28, 1817.84, 1083.52,4268497163, 2901.36,   1817.84,   1083.52,   2901.36
  453.38,  268.25,  456.61,  268.97,  444.44,  275.47,  458.98,  268.69, 1813.41, 1081.39,4263976390, 2894.80,   1813.41,   1081.39,   2894.80
  455.93,  269.50,  459.45,  270.40,  446.81,  276.49,  461.49,  270.05, 1823.68, 1086.44,4263817799, 2910.12,   1823.68,   1086.44,   2910.12
  449.51,  266.32,  452.62,  267.10,  440.61,  273.22,  454.86,  266.60, 1797.60, 1073.24,4268492039, 2870.84,   1797.60,   1073.24,   2870.84
  450.12,  266.74,  453.62,  267.84,  441.29,  273.67,  455.51,  266.85, 1800.54, 1075.09,4264911146, 2875.63,   1800.54,   1075.09,   2875.63
  450.76,  266.96,  454.23,  267.96,  441.59,  273.87,  456.07,  267.27, 1802.65, 1076.05,4263917193, 2878.71,   1802.65,   1076.05,   2878.71
  446.81,  265.06,  449.86,  265.78,  437.55,  271.75,  451.80,  265.13, 1786.03, 1067.72,4268008063, 2853.75,   1786.03,   1067.72,   2853.75
  447.28,  265.24,  450.54,  266.17,  438.05,  272.07,  452.70,  265.54, 1788.57, 1069.03,4264211159, 2857.60,   1788.57,   1069.03,   2857.60
  447.25,  265.03,  450.74,  266.16,  437.88,  271.84,  452.42,  265.45, 1788.28, 1068.48,4263830481, 2856.76,   1788.28,   1068.48,   2856.76
  446.02,  264.55,  449.16,  265.40,  437.15,  271.57,  451.36,  264.86, 1783.69, 1066.38,4268474293, 2850.08,   1783.69,   1066.38,   2850.08
  448.73,  265.92,  451.84,  266.66,  439.56,  272.70,  453.99,  266.13, 1794.12, 1071.42,4263987287, 2865.54,   1794.12,   1071.42,   2865.54
  448.04,  265.61,  450.92,  266.20,  438.96,  272.42,  452.74,  265.54, 1790.67, 1069.77,4263813827, 2860.43,   1790.67,   1069.77,   2860.43
  451.33,  267.21,  454.04,  267.67,  441.67,  273.82,  455.72,  267.01, 1802.76, 1075.71,4268487994, 2878.46,   1802.76,   1075.71,   2878.46
  447.53,  265.33,  450.41,  265.89,  438.19,  272.14,  452.27,  265.26, 1788.40, 1068.62,4264010042, 2857.02,   1788.40,   1068.62,   2857.02
