SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
  604.16,  251.60,  628.23,  261.69,  564.60,  250.01,  688.16,  274.44, 2485.14, 1037.74,    125701, 3522.88,   2485.14,   1037.74,   3522.88
  603.58,  251.40,  628.08,  261.20,  562.84,  249.18,  688.45,  274.58, 2482.96, 1036.36,    125837, 3519.32,   2482.96,   1036.36,   3519.32
  601.73,  250.90,  624.67,  260.20,  560.76,  248.59,  685.50,  273.69, 2472.65, 1033.38,    125756, 3506.04,   2472.65,   1033.38,   3506.04
  602.20,  250.98,  625.51,  260.43,  561.12,  248.99,  686.96,  273.79, 2475.79, 1034.20,    125806, 3509.99,   2475.79,   1034.20,   3509.99
  603.61,  251.69,  627.09,  261.13,  563.25,  249.66,  688.37,  274.65, 2482.33, 1037.12,    125821, 3519.45,   2482.33,   1037.12,   3519.45
  602.36,  251.38,  625.72,  260.49,  561.15,  248.79,  686.89,  274.07, 2476.13, 1034.73,    125719, 3510.85,   2476.13,   1034.73,   3510.85
  603.15,  251.45,  627.02,  261.14,  562.24,  249.23,  687.72,  274.52, 2480.14, 1036.33,    125699, 3516.47,   2480.14,   1036.33,   3516.47
  602.16,  250.97,  626.01,  260.84,  560.98,  248.82,  685.30,  273.57, 2474.45, 1034.20,    125837, 3508.64,   2474.45,   1034.20,   3508.64
  600.57,  250.38,  625.71,  260.79,  559.57,  248.33,  684.25,  273.28, 2470.10, 1032.79,    125761, 3502.88,   2470.10,   1032.79,   3502.88
  600.54,  250.40,  625.15,  260.32,  560.12,  248.57,  684.43,  273.43, 2470.24, 1032.72,    125770, 3502.96,   2470.24,   1032.72,   3502.96
  601.62,  250.53,  625.46,  260.21,  560.20,  248.43,  685.38,  273.61, 2472.65, 1032.79,    125884, 3505.44,   2472.65,   1032.79,   3505.44
  602.13,  250.90,  625.80,  260.78,  561.08,  248.55,  686.16,  273.95, 2475.17, 1034.17,    125745, 3509.34,   2475.17,   1034.17,   3509.34
  600.52,  250.35,  623.21,  259.69,  559.48,  248.33,  683.61,  272.92, 2466.81, 1031.28,    125684, 3498.09,   2466.81,   1031.28,   3498.09
  604.16,  251.40,  627.70,  261.07,  563.23,  249.77,  688.19,  274.80, 2483.27, 1037.04,    125883, 3520.31,   2483.27,   1037.04,   3520.31
  602.22,  250.75,  625.93,  260.43,  560.89,  248.78,  686.69,  274.27, 2475.74, 1034.22,    125743, 3509.97,   2475.74,   1034.22,   3509.97
  601.30,  250.69,  625.53,  260.61,  560.17,  248.32,  686.57,  274.34, 2473.57, 1033.96,    125889, 3507.53,   2473.57,   1033.96,   3507.53
  600.19,  250.30,  624.46,  260.39,  559.34,  248.37,  684.65,  273.83, 2468.64, 1032.89,    125714, 3501.53,   2468.64,   1032.89,   3501.53
  598.76,  249.89,  623.26,  259.85,  557.20,  247.43,  682.33,  273.13, 2461.55, 1030.30,    125703, 3491.84,   2461.55,   1030.30,   3491.84
  598.63,  251.41,  622.87,  261.39,  558.78,  249.22,  681.04,  274.37, 2461.33, 1036.40,    125830, 3497.73,   2461.33,   1036.40,   3497.73
  594.25,  250.27,  619.21,  260.63,  554.90,  248.14,  677.73,  273.66, 2446.09, 1032.70,    125685, 3478.79,   2446.09,   1032.70,   3478.79
  594.65,  249.95,  618.58,  259.74,  556.06,  248.20,  677.44,  272.88, 2446.73, 1030.78,    125695, 3477.51,   2446.73,   1030.78,   3477.51
  596.67,  250.52,  621.07,  260.78,  557.81,  248.49,  680.50,  273.52, 2456.05, 1033.32,    125878, 3489.37,   2456.05,   1033.32,   3489.37
  598.62,  250.74,  622.78,  260.95,  558.40,  248.41,  682.25,  273.63, 2462.05, 1033.73,    125732, 3495.78,   2462.05,   1033.73,   3495.78
  599.89,  251.21,  624.10,  261.27,  559.61,  249.01,  683.02,  273.83, 2466.62, 1035.31,    125735, 3501.93,   2466.62,   1035.31,   3501.93
  599.18,  250.54,  623.61,  260.75,  559.59,  248.72,  682.64,  273.15, 2465.03, 1033.17,    125885, 3498.20,   2465.03,   1033.17,   3498.20
  598.87,  250.39,  622.78,  260.41,  558.49,  248.33,  682.04,  272.96, 2462.18, 1032.09,    125734, 3494.28,   2462.18,   1032.09,   3494.28
